,node_1,node_2,start_of_interaction,end_of_interaction,duration,distance,angle
77,fly9,fly11,13862,13902,41,,
667,fly2,fly4,13862,13979,118,,
102,fly9,fly12,13903,13933,31,,
875,fly11,fly1,13935,14017,83,,
1485,fly6,fly3,13966,13992,27,,
1435,fly1,fly10,13966,13982,17,,
391,fly3,fly6,13968,13991,24,,
3075,fly10,fly7,13970,14006,37,,
2223,fly7,fly1,13974,14015,42,,
1041,fly11,fly10,13979,14007,29,,
647,fly2,fly6,13981,13995,15,,
2181,fly7,fly11,13983,14017,35,,
969,fly11,fly7,13983,14016,34,,
2375,fly7,fly10,13983,13997,15,,
1398,fly1,fly7,13990,14008,19,,
1088,fly12,fly3,13991,14029,39,,
351,fly3,fly12,13997,14028,32,,
2376,fly7,fly10,13999,14021,23,,
1518,fly6,fly2,14009,14026,18,,
3076,fly10,fly7,14011,14029,19,,
2996,fly10,fly1,14015,14051,37,,
1344,fly1,fly11,14017,14051,35,,
648,fly2,fly6,14019,14056,38,,
2953,fly10,fly11,14022,14051,30,,
1436,fly1,fly10,14034,14060,27,,
311,fly3,fly2,14035,14080,46,,
1120,fly12,fly2,14046,14084,39,,
1399,fly1,fly7,14047,14072,26,,
593,fly2,fly12,14048,14084,37,,
1042,fly11,fly10,14051,14088,38,,
970,fly11,fly7,14057,14101,45,,
2224,fly7,fly1,14057,14106,50,,
649,fly2,fly6,14061,14077,17,,
2182,fly7,fly11,14062,14118,57,,
876,fly11,fly1,14063,14101,39,,
2377,fly7,fly10,14066,14126,61,,
1187,fly12,fly6,14068,14112,45,,
1599,fly6,fly12,14070,14118,49,,
2954,fly10,fly11,14076,14092,17,,
2997,fly10,fly1,14076,14092,17,,
3077,fly10,fly7,14102,14144,43,,
1281,fly12,fly8,14114,14129,16,,
1345,fly1,fly11,14119,14157,39,,
2998,fly10,fly1,14121,14228,108,,
1990,fly4,fly5,14124,14186,63,,
2531,fly5,fly4,14124,14186,63,,
1437,fly1,fly10,14127,14219,93,,
1089,fly12,fly3,14130,14153,24,,
2955,fly10,fly11,14135,14231,97,,
1282,fly12,fly8,14156,14202,47,,
352,fly3,fly12,14171,14251,81,,
2788,fly8,fly4,14173,14191,19,,
2027,fly4,fly8,14208,14224,17,,
2588,fly5,fly8,14210,14230,21,,
1991,fly4,fly5,14210,14231,22,,
1346,fly1,fly11,14227,14262,36,,
2922,fly10,fly2,14232,14263,32,,
1438,fly1,fly10,14237,14261,25,,
1090,fly12,fly3,14255,14270,16,,
2999,fly10,fly1,14273,14291,19,,
2923,fly10,fly2,14274,14291,18,,
1091,fly12,fly3,14290,14375,86,,
3078,fly10,fly7,14291,14308,18,,
609,fly2,fly1,14300,14319,20,,
1347,fly1,fly11,14304,14373,70,,
2349,fly7,fly8,14318,14347,30,,
2807,fly8,fly7,14318,14347,30,,
2292,fly7,fly4,14356,14376,21,,
2567,fly5,fly7,14358,14376,19,,
610,fly2,fly1,14362,14392,31,,
1966,fly4,fly7,14365,14445,81,,
1822,fly4,fly3,14379,14398,20,,
1335,fly1,fly2,14396,14416,21,,
611,fly2,fly1,14398,14437,40,,
1823,fly4,fly3,14400,14441,42,,
1600,fly6,fly12,14403,14433,31,,
420,fly3,fly4,14405,14439,35,,
392,fly3,fly6,14421,14457,37,,
1934,fly4,fly6,14430,14466,37,,
1824,fly4,fly3,14444,14474,31,,
2256,fly7,fly6,14453,14468,16,,
1336,fly1,fly2,14455,14477,23,,
1645,fly6,fly4,14460,14473,14,,
1486,fly6,fly3,14466,14482,17,,
451,fly3,fly7,14481,14498,18,,
393,fly3,fly6,14486,14502,17,,
2108,fly7,fly3,14497,14521,25,,
2659,fly8,fly2,14531,14586,56,,
421,fly3,fly4,14547,14900,354,,
1825,fly4,fly3,14547,14770,224,,
2204,fly7,fly12,14559,14596,38,,
1070,fly12,fly9,14570,14602,33,,
103,fly9,fly12,14571,14609,39,,
187,fly9,fly7,14590,14605,16,,
1233,fly12,fly7,14595,14611,17,,
971,fly11,fly7,14648,14672,25,,
2808,fly8,fly7,14718,14739,22,,
2350,fly7,fly8,14720,14739,20,,
1147,fly12,fly11,14732,14745,14,,
2141,fly7,fly2,14756,14781,26,,
